ID	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20
NA20543:NA20543	0.0072	0.0186	0.0333	0.0363	-0.018	0.1197	-0.004	0.0537	0.0967	-0.0424	0.0592	-0.0179	-0.0049	-0.0954	-0.063	-0.0186	0.07	-0.0656	-0.0301	0.0485
NA20544:NA20544	0.0168	-0.0291	0.0461	-0.0046	-0.0444	-0.0062	0.0594	-0.0296	-0.0601	-0.1012	-0.0204	0.04	0.0461	-0.1374	-0.0976	0.0237	0.0852	-0.0071	0.0845	-0.0021
NA20581:NA20581	0.0901	-0.062	-0.0045	-0.0712	0.0503	-0.0713	0.0883	-0.0608	0.0232	-0.0497	-0.0549	0.0366	-0.0102	0.037	0.0404	0.0083	0.0088	-0.0207	-0.0632	0.0243
NA20582:NA20582	0.0525	-0.0361	0.0124	0.0953	0.0085	-0.0016	-0.0256	0.0047	-0.0877	-0.0684	-0.0043	-0.0021	0.0065	-0.0477	-0.0331	0.0379	-0.0661	0.0462	7e-04	0.0811
NA20585:NA20585	0.0124	0.038	-0.0152	-0.017	0.001	0.0175	-0.0676	0.0077	-0.0411	0.0465	0.0352	0.0873	-0.0624	-0.016	-0.1173	0.0799	0.0695	0.0836	-0.0679	0.1182
NA20586:NA20586	0.0373	0.0566	0.0576	-0.0322	-0.0692	-0.0793	0.0018	0.0361	0.0381	-0.0148	0.0357	0.1007	-0.0042	0.0229	-0.0293	0.1295	-0.0124	-0.0571	0.0237	-0.0837
NA20587:NA20587	0.0525	-0.0075	0.0563	-0.0451	-0.0101	-0.1135	-0.0989	0.0078	-0.0248	0.0282	0.0598	0.0218	0.0072	-0.0675	-0.0402	-0.0133	0.0168	-0.0317	0.1209	0.0048
NA20588:NA20588	0.0293	0.075	-0.0501	-0.0854	0.0052	-0.0161	0.0714	0.0117	-0.0821	0.0661	-0.0362	-7e-04	0.0653	0.0028	0.0241	0.0075	0.0119	0.053	-0.084	-0.0682
NA20589:NA20589	0.0586	0.0497	-0.0687	0.0058	0.0435	0.0299	-0.0195	0.002	-0.0516	0.018	-0.0196	0.1124	0.0175	-0.0057	0.1523	-0.0717	0.0683	-0.0041	-0.0709	0.0655
NA20752:NA20752	0.0532	-0.0667	0.0106	0.0201	-0.0527	0.0171	-0.037	0.0538	0.0431	0.014	0.0053	-0.0057	-0.0226	-0.0249	0.0532	-0.0093	0.0174	0.127	0.0782	-0.0034
NA20753:NA20753	0.0536	0.1136	0.0099	0.0259	-0.0281	-0.0092	0.0529	0.0478	0.0036	-0.0506	0.0011	-0.0651	-0.1307	-0.0021	0.0841	0.0209	0.0237	0.0542	0.041	0.1176
NA20754:NA20754	0.0701	-0.0843	-0.012	0.0226	-0.066	-0.0714	0.071	0.0479	-0.0257	0.0429	-0.0422	0.0721	-0.0611	0.0579	-0.0679	-0.0426	0.0943	-0.0334	-0.107	0.0091
NA20755:NA20755	0.0551	-0.0765	0.0168	-0.0406	-0.1143	-0.0791	-0.1016	0.0732	-0.0335	-0.0591	0.0473	0.0428	0.0449	0.045	0.0019	-0.0367	0.0019	-0.0567	-0.005	0.0746
NA20756:NA20756	0.0701	0.0031	-0.0256	0.0307	0.0773	-0.1396	-0.0276	0.0669	0.0066	0.0429	-0.0967	-0.0218	-0.1052	0.0154	-0.0318	0.0188	0.1257	0.0087	0.0093	-0.0435
NA20757:NA20757	0.0578	0.0556	-0.066	-0.0482	-0.0588	-0.0694	-0.0206	0.0409	-0.0648	-0.001	0.0248	-0.0014	0.047	0.0032	0.0253	0.0319	0.0503	0.0213	0.0905	-0.0175
NA20758:NA20758	0.0306	0.0132	0.05	0.0045	0.0496	0.0837	-0.0513	-0.0457	-0.0681	0.0397	-0.0582	0.0019	-0.0585	-0.0157	0.1215	0.0155	0.017	-0.0534	0.0077	0.0183
NA20759:NA20759	0.0371	0.0437	0.049	-0.0694	-0.1035	0.0131	-0.015	0.0241	0.0346	0.0244	0.0594	-0.0316	-0.018	0.125	-0.113	0.0295	0.0052	-0.0056	-0.0049	0.0333
NA20760:NA20760	0.0175	0.0686	0.0815	0.0936	-0.0192	-0.027	-0.0383	-0.0014	-0.0339	0.0845	-0.0046	0.0585	-0.1631	-0.0924	-0.0838	0.0426	0.0298	-0.0967	0.0385	-0.0168
NA20761:NA20761	0.0121	-0.051	0.0403	-0.0232	0.0186	0.0268	0.0624	0.0288	-0.1185	0.0228	-0.026	-0.0628	0.0129	-0.0084	0.0037	0.0037	-0.0024	-0.0442	0.0104	-0.0398
NA20762:NA20762	0.033	0.0158	0.0597	-0.0661	0.0046	-0.0196	0.0557	-0.0514	0.0337	0.0097	-0.0237	0.0108	-0.0878	-0.0625	0.0544	-0.0568	-0.1067	0.0528	-0.0369	-0.0449
